what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1284123097015
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1284123097015
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1284123097016
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1284123097017
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284123097017
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1284123097017
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1284123097018
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1284123097018
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1284123097019
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1284123097019
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1284123097020
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1284123097021
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1284123097021
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1284123097022
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1284123097024
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1284123097024
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1284123097025
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1284123097025
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1284123097026
os,sysinfo,,,"linux",1284123097030
arch,sysinfo,,,"x86",1284123097030
ws,sysinfo,,,"gtk",1284123097030
locale,sysinfo,,,"en_US",1284123097030
processors,sysinfo,,,"2",1284123097031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284123097031
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1284123097031
java.specification.name,sysinfo,,,"Java Platform API Specification",1284123097031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284123097031
java.specification.version,sysinfo,,,"1.6",1284123097031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284123097031
java.version,sysinfo,,,"1.6.0_20",1284123097031
java.vm.info,sysinfo,,,"mixed mode, sharing",1284123097031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284123097031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284123097031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284123097031
java.vm.specification.version,sysinfo,,,"1.0",1284123097031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284123097031
java.vm.version,sysinfo,,,"16.3-b01",1284123097031
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284123097062
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1284123097083
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1284123097084
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1284123097215
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1284123097238
started,bundle,org.eclipse.photran.core.vpg,6.0.0.201006142322,"org.eclipse.photran.core.vpg",1284123097240
started,bundle,org.eclipse.photran.core,6.0.0.201006142322,"org.eclipse.photran.core",1284123097246
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1284123097350
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1284123097352
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1284123097375
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1284123097392
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1284123097505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284123100725
